Country Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Brunei Darussalam,6,6.699999809,7.5,6.900000095,6.300000191,5.800000191,8.300000191,7.699999809,5.599999905,5.599999905,5.599999905,5.599999905,5.5,6.699999809,6.800000191,6.800000191,6.800000191,8,7.900000095,5.5,5.699999809,6,7.599999905,8.399999619,8.199999809,7.800000191,7.599999905
Cambodia,0.100000001,0.400000006,0.400000006,2.400000095,0.200000003,0.699999988,0.600000024,0.400000006,0.5,2.099999905,1.5,0.899999976,2.5,1.600000024,1.299999952,1.100000024,0.699999988,0.400000006,0.200000003,0.300000012,0.200000003,0.200000003,0.200000003,0.100000001,0.100000001,0.200000003,0.200000003
Indonesia,3,3,5.099999905,9.699999809,4.199999809,5.300000191,5.5,6.300000191,6.800000191,6.5,10.30000019,10.80000019,12.60000038,12.69999981,14.10000038,13.10000038,10.89999962,9.699999809,8.5,8.600000381,8.800000191,6.699999809,6.300000191,6.699999809,6.699999809,6.300000191,6.400000095
Lao PDR,1.700000048,2,2.099999905,2.099999905,2.200000048,1.600000024,1.700000048,1.700000048,1.600000024,1.600000024,1.600000024,1.5,1.799999952,2.099999905,1.200000048,1.200000048,1.200000048,1.200000048,1.200000048,1.200000048,1.200000048,1.100000024,1.100000024,1.100000024,1.100000024,1.200000048,1.299999952
Malaysia,3.599999905,4.300000191,4.699999809,4.300000191,3.599999905,2.900000095,2.799999952,3.400000095,3.299999952,3.099999905,4,4,4.099999905,3.900000095,3.900000095,3.700000048,3.400000095,3.700000048,4,3.599999905,3.400000095,3.099999905,3.400000095,3.200000048,3.400000095,3.700000048,3.700000048
Myanmar,0.800000012,0.800000012,0.800000012,0.800000012,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.899999976,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012,0.800000012
Philippines,10.60000038,10,10.10000038,9.600000381,9.600000381,8.300000191,8.600000381,9.699999809,9.800000191,11.80000019,11.5,12.30000019,12,12.39999962,7.800000191,7.599999905,7.099999905,7.099999905,7.199999809,7,6.699999809,6.699999809,6.699999809,6.099999905,6.199999809,5.400000095,5.599999905
Singapore,2.099999905,3.200000048,3.400000095,3.400000095,3.5,3.900000095,2.599999905,3.700000048,5.199999809,3.700000048,3.900000095,5.900000095,6.300000191,6.199999809,6.099999905,5,4.300000191,4.400000095,4.599999905,3.400000095,3.099999905,3,2.900000095,3,1.799999952,1.799999952,2.099999905
Thailand,2.700000048,1.399999976,1.5,1.600000024,1.299999952,1.100000024,0.899999976,3.400000095,2.900000095,2.299999952,2.5,1.700000048,1.399999976,1.399999976,1.200000048,1.100000024,1.100000024,1,1.5,1,0.699999988,0.5,0.800000012,0.800000012,0.899999976,1,1
Vietnam,2.700000048,2.700000048,3.200000048,2.5,2,1.700000048,2.599999905,2.099999905,2.400000095,2.200000048,3.299999952,2.299999952,2.700000048,2.400000095,2.299999952,2.5,2.299999952,2.200000048,2.700000048,2.799999952,2.200000048,2,2,1.799999952,2,2.099999905,2.200000048
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
